# Conformance vectors for cpp/spec/chd/SPEC.md.
# Observed by running the archived prototype; see chd-spec.wiki for the run.
# PROTOTYPE-SPECIFIC rows record a construction refusal caused by a weakness of the
# archived prototype's particular hash use, not by anything a new implementation must
# reproduce. An implementation that constructs these key sets successfully is BETTER
# and is conforming. check_vectors.py does not require them.
case	outcome	classification	n_keys	n_queries	n_expect_member	n_expect_absent	sha256_keys	sha256_queries	sha256_expected	key_set_provenance
n16_small	BUILD_OK	ACCEPTANCE	16	144	16	128	1c006698333e903e0029061f230049c38255d025c028fd8fbb5e2ce780548b1e	2c614d22cfe1ed2f0151a09fa0abaa2158f219693a9485d9e233e8f3b72b621c	b89781294a14cf18f4cc3fa50f42aae99b69c739db86ab143cd5a775245cd7da	synthetic: splitmix64, see gen_vectors.cpp
n17_small	BUILD_OK	ACCEPTANCE	17	145	17	128	4663c0aed228f1c68a27ca5d1acec2cf6926f7bc46a0290e9a7130899938c43a	1e8598e551d7d98957415bbbc8f1c9e201d1a3c31c61532381bc4c73db55747b	bfa165db692510fbf1604bf6dcfc04ef2d252d529348a2396f7bc821dad8b235	synthetic: splitmix64, see gen_vectors.cpp
n1_small	BUILD_OK	ACCEPTANCE	1	73	1	72	1e59a748fd1ab05855317ba28a6b2e1d1f0befb7529b8ade7200c4f2285a0175	c1faed185521f9c2a757ccce57bc6397364efd6a285ba6cad994c26646717c4e	b3ed78c23c192ac7ec754ebcda8fff53cb0edc263c5ae0c0f5518de4a8d299a7	synthetic: splitmix64, see gen_vectors.cpp
n2_small	BUILD_OK	ACCEPTANCE	2	82	2	80	5d2bc07ce7e44bf0dd1976dec1b2be3e9c0d652c38489c365b76446468c0865a	e1b62f448314b5b3aa3237320e732924f2b3dd971cedc5f26b1c050e830cdaea	a3016807bc4e9d35c00119469084105940019e10ec9d85c4b8cb647939565fd0	synthetic: splitmix64, see gen_vectors.cpp
n3_small	BUILD_OK	ACCEPTANCE	3	91	3	88	4978d2e6b57acd7ab85958cc2a9448147cb721055cc4296ef606a397821971f2	d749fd9ac9e850092bc14b55f5aeb8e4f8bab47ed3c1edb86a7c3f5cb8545dcb	fc34f2e24416fde1faf1aec45daf5d872ee62af9a59f860dbdb40601d77099a9	synthetic: splitmix64, see gen_vectors.cpp
n4_small	BUILD_OK	ACCEPTANCE	4	100	4	96	11bc85b7da50e32481364d3bcea94ccb373513f71a7432f0d96f991917c5b74c	5652603fa95712599ab939769fbf3004a1933df43a62c461bd09041cc34f79dc	12b3c7ac75bc5fbec02623f402cca73bd995a7dfa125a29435a3370d0cc141fa	synthetic: splitmix64, see gen_vectors.cpp
n5_small	BUILD_OK	ACCEPTANCE	5	109	5	104	f1e97191bab56ee7fa14e45a3151f126c3b5f53cee8feb1a71c11a199bb27df2	7b500c4eebeb704a7c2f15d2db0a92c44c98ff5360f643ebb717b189266f4109	253a2f6a3564a24a84db96465f2d6f617665871cc328d64da542686ef7a515e8	synthetic: splitmix64, see gen_vectors.cpp
n8_small	BUILD_OK	ACCEPTANCE	8	136	8	128	43ef0267a91c0e263e6c83304d12d06ef036848abe4a333868a68fbaea76114f	e68216135d6cce6d67ee4a95379a9116617239948a03763666878f4ce9c51da7	f15f2af48778e082f73065013855ad9cd379fb85d20f4a1806ecac866c6f4728	synthetic: splitmix64, see gen_vectors.cpp
n9_small	BUILD_OK	ACCEPTANCE	9	137	9	128	c481a07838837ade75908305c447f4f0a738f0ce011ffb897d9c203bba12f72d	c5fc8946b766f540bfb5e07392036ff3e5aaba8ce40c924ff000f99116ed9daa	e22923bdb62b6ec3f0b613b8a6d9c7a37278b8be6cdae714779b7939f133f2eb	synthetic: splitmix64, see gen_vectors.cpp
real_card5074	BUILD_OK	ACCEPTANCE	1203	3609	1203	2406	41cc1e98a78f63d2f267380f7232f2d7f3d8305867b7b2e8847b40506d81103b	317baed613a51632809d8684970b478ecf14582fcd4923d9a0d9ebd86c6ff659	8e34b4735d86c97922a554e46f46244597ee2b968a0c35ea6da9a49b5d7a935c	real: operator DB, card 5074, num_refs>1, num_refs DESC then hash_id
real_card5455	BUILD_OK	ACCEPTANCE	45664	85664	45664	40000	70b82a8188bd1c80ceff0e1b5676e709ca4d40b745f74c8c0881e2dbf0dcbb9c	a941dcbb2dc5240f9ebd99d554fe011858c334460a322b43e63a4d88f9505d8d	7b7284f6ac740e252da3055fd9fc56e3ff43a72ff7d6314b74c7f64a118aadbc	real: operator DB, card 5455 (the median-size card), num_refs>1, num_refs DESC then hash_id
shared_hash0_one_bucket	BUILD_OK	ACCEPTANCE	12	268	12	256	14a8d3960acd59683d282c11167681eb926f0f9eb48d5706ca9c2cd1d5789c90	28beced4c661e8d9519223e5776cc1c24893bc5544f8c55bc52d2c40b42a7653	1da33c2f70fbc6f83da4bd763b10db74f2819e565edf40d8a8758482df5094b7	synthetic: constructed, one shared hash0
shared_hash1_distinct_buckets	BUILD_OK	ACCEPTANCE	1000	2000	1000	1000	3216a2609b5afc2d84eb84840e13ec662c8d612fa5bfd29c76133a9bfcdd2aef	18c465dbe2194e96d46e82ece6d1e034ab658aaa3769c5ca831510e1290418c1	f92a810ab55af5a10b6025da720e12c9380f322ac1592e9663fcf22e537507fe	synthetic: splitmix64 seed 0x7770000, two entries overwritten
